,0
0,0
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,1
163,0
164,1
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,0
206,1
207,0
208,1
209,1
210,0
211,1
212,1
213,1
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,0
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,1
299,1
300,1
301,0
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,1
339,0
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,1
432,0
433,0
434,1
435,0
436,0
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,0
457,1
458,1
459,0
460,0
461,1
462,1
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,1
506,0
507,0
508,1
509,1
510,0
511,1
512,1
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,0
521,1
522,1
523,1
524,0
525,0
526,1
527,0
528,0
529,0
530,1
531,0
532,0
533,1
534,0
535,0
536,1
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,0
547,0
548,1
549,0
550,0
551,0
552,1
553,1
554,1
555,1
556,1
557,1
558,0
559,0
560,1
561,0
562,1
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,1
574,1
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,1
594,0
595,1
596,1
597,0
598,0
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,1
607,1
608,0
609,0
610,0
611,1
612,0
613,0
614,1
615,1
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,1
624,0
625,1
626,1
627,0
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,1
645,1
646,0
647,1
648,0
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,0
661,0
662,1
663,1
664,1
665,0
666,0
667,0
668,1
669,1
670,0
671,0
672,0
673,0
674,0
675,0
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,1
690,1
691,1
692,1
693,0
694,1
695,0
696,1
697,0
698,0
699,0
700,1
701,1
702,1
703,1
704,1
705,1
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,0
730,1
731,0
732,1
733,1
734,1
735,0
736,1
737,0
738,1
739,1
740,0
741,1
742,0
743,1
744,0
745,0
746,1
747,0
748,1
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,0
757,1
758,0
759,0
760,1
761,0
762,1
763,1
764,0
765,1
766,1
767,0
768,1
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,0
781,0
782,1
783,1
784,1
785,1
786,0
787,1
788,0
789,1
790,1
791,1
792,0
793,1
794,1
795,1
796,0
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,1
805,0
806,1
807,1
808,0
809,0
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,0
818,1
819,1
820,0
821,1
822,0
823,1
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,1
833,1
834,1
835,0
836,1
837,0
838,0
839,0
840,0
841,0
842,1
843,1
844,1
845,1
846,1
847,1
848,0
849,0
850,0
851,1
852,0
853,1
854,1
855,1
856,0
857,1
858,0
859,0
860,1
861,1
862,1
863,0
864,1
865,0
866,1
867,0
868,1
869,1
870,1
871,1
872,0
873,1
874,0
875,0
876,0
877,0
878,1
879,1
880,1
881,0
882,0
883,1
884,1
885,1
886,0
887,1
888,1
889,0
890,0
891,1
892,0
893,1
894,1
895,0
896,1
897,0
898,1
899,0
900,1
901,1
902,1
903,0
904,0
905,1
906,0
907,0
908,0
909,1
910,1
911,1
912,1
913,1
914,0
915,1
916,0
917,1
918,1
919,0
920,1
921,0
922,0
923,0
924,1
925,0
926,1
927,0
928,1
929,1
930,0
931,1
932,1
933,0
934,0
935,1
936,1
937,0
938,0
939,0
940,1
941,1
942,1
943,0
944,1
945,1
946,1
947,1
948,1
949,1
950,0
951,1
952,1
953,0
954,1
955,1
956,0
957,1
958,1
959,0
960,0
961,1
962,0
963,1
964,0
965,1
966,1
967,0
968,0
969,0
970,1
971,1
972,0
973,1
974,1
975,1
976,1
977,0
978,1
979,1
980,0
981,0
982,0
983,1
984,1
985,0
986,1
987,0
988,1
989,0
990,1
991,1
992,0
993,0
994,0
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,1
1009,1
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,1
1020,0
1021,0
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,1
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,0
1056,1
1057,1
1058,1
1059,0
1060,1
